,Unnamed: 0_x,Feature,Chi2_x,Unnamed: 0_y,Chi2_y,Unnamed: 0,Chi2
305,10575,ther,3.901477833,11280,102.9619841,10899,10.39572193
303,10577,17,3.901477833,10027,4.180178571,10829,8.232928413
304,10576,predos,3.901477833,8690,0.664464286,9658,4.663200634
306,10574,event,3.877007229,10306,6.21619898,7754,0.781149497
307,10571,3,3.837031307,9765,2.437532468,8681,1.588235294
308,10566,load,3.831457752,8433,0.557603687,9640,4.475935829
309,10565,pretreat,3.793103448,10090,4.9,10878,10.10695187
310,10564,session,3.738916256,9471,1.49815735,10875,9.962566845
311,10563,found,3.711859111,10004,3.863156146,9607,4.13072356
312,10562,in,3.710389321,9156,1.030430108,11238,30.44563493
313,10561,vitro,3.70618832,9820,2.828455026,9847,6.762775174
314,10557,version,3.65653595,9890,3.343283582,8148,1.03300491
317,10554,intestin,3.630541872,11232,59.53605544,10931,12.33833506
316,10555,winnonlin,3.630541872,9526,1.671641791,9336,2.684760984
315,10556,even,3.630541872,9351,1.386460554,7974,0.878037028
318,10551,dl,3.554858934,8570,0.611116071,9053,2.487844128
319,10550,onc,3.515432154,9897,3.374228571,8437,1.186524064
320,10549,er,3.495053536,11000,18.85207792,9828,6.352941176
322,10546,cation,3.467980296,11284,110.7037723,9551,3.649844029
321,10547,symbol,3.467980296,8972,0.840089286,9751,5.229996039
323,10544,vivo,3.463316551,9609,1.996883117,10877,10.08305475
325,10542,demonstr,3.413793103,10045,4.41,8455,1.25173616
324,10543,schedul,3.413793103,9258,1.16845805,9537,3.525705232
326,10541,transport,3.411243225,11289,117.9887026,11100,14.14973262
327,10540,collect,3.410795514,9648,2.088878419,8196,1.144487849
329,10535,quanti,3.359605911,11051,26.08516129,9687,4.959512903
332,10539,cient,3.359605911,11016,21.10251152,9686,4.959512903
330,10536,mdz,3.359605911,10040,4.34,10851,8.951871658
328,10537,cmin,3.359605911,10039,4.34,9685,4.959512903
331,10538,interday,3.359605911,10022,4.103317972,9515,3.402219539
333,10534,evapor,3.307228691,7279,0.279300595,8958,2.257286922
334,10532,olz,3.305418719,10029,4.27,11322,278.8323252
335,10531,chain,3.298307753,11260,81.72623377,9666,4.764705882
336,10526,success,3.269741753,8950,0.84,8753,1.669043375
337,10524,ab,3.256931157,6527,0.143441558,8555,1.299987396
341,10523,minimum,3.251231527,10028,4.2,7979,0.892585991
338,10522,72,3.251231527,9259,1.173428571,10842,8.663101604
339,10521,75,3.251231527,7248,0.233357143,9663,4.690248894
340,10520,dryness,3.251231527,7246,0.233357143,9418,2.966607249
342,10503,remedi,3.235557546,9717,2.228928571,7230,0.577540107
346,10499,huang,3.235557546,9681,2.228928571,7211,0.577540107
357,10502,uniti,3.235557546,9723,2.228928571,7396,0.577540107
349,10496,tri,3.235557546,9701,2.228928571,7014,0.556347792
370,10509,nonren,3.235557546,7574,0.28,11098,14.11942959
348,10497,absent,3.235557546,7524,0.28,9709,5.070310953
352,10492,truncat,3.235557546,7651,0.28,9722,5.070310953
359,10513,slow,3.235557546,7418,0.28,9719,5.070310953
345,10500,nonspecif,3.235557546,7562,0.28,7260,0.577540107
347,10498,europ,3.235557546,7308,0.28,7380,0.577540107
350,10493,terumo,3.235557546,7421,0.28,7114,0.577540107
351,10494,astec,3.235557546,7466,0.28,7312,0.577540107
353,10491,tetrahydrofuran,3.235557546,7392,0.28,7191,0.577540107
354,10490,roy,3.235557546,7456,0.28,7433,0.577540107
355,10489,carryov,3.235557546,7395,0.28,7326,0.577540107
361,10519,colleagu,3.235557546,7413,0.28,7164,0.577540107
362,10518,reactiv,3.235557546,7412,0.28,7375,0.577540107
364,10516,fivefold,3.235557546,7379,0.28,7314,0.577540107
365,10515,amino,3.235557546,7423,0.28,7283,0.577540107
366,10514,clres,3.235557546,7419,0.28,7278,0.577540107
367,10512,appendix,3.235557546,7404,0.28,7392,0.577540107
369,10510,leuven,3.235557546,7568,0.28,7146,0.577540107
371,10508,intrauterin,3.235557546,7628,0.28,7373,0.577540107
372,10507,sandoz,3.235557546,7432,0.28,7233,0.577540107
343,10495,ide,3.235557546,7599,0.28,7090,0.556347792
344,10501,problem,3.235557546,7561,0.28,7036,0.556347792
356,10488,interpol,3.235557546,7622,0.28,7096,0.556347792
358,10504,specialti,3.235557546,7530,0.28,7025,0.556347792
360,10505,hydrolys,3.235557546,7638,0.28,7092,0.556347792
363,10517,fluid,3.235557546,7376,0.28,7054,0.556347792
368,10511,ear,3.235557546,7496,0.28,7009,0.556347792
373,10506,denot,3.235557546,7516,0.28,7075,0.556347792
374,10487,good,3.203399682,9856,2.995987842,7996,0.951492396
375,10486,iv,3.197044335,10024,4.13,11146,20.53008987
376,10485,repres,3.197044335,9808,2.733559322,8856,1.944070146
377,10482,ani,3.15155849,9835,2.933471582,9797,5.833210877
378,10481,pt,3.142857143,9341,1.37182266,8190,1.125098176
379,10478,½ï,3.088669951,10015,3.99,11281,50.46585914
380,10475,concentr,3.043045696,9885,3.292984802,9796,5.822207145
381,10474,standard,3.040965102,6539,0.164222874,6939,0.471356077
382,10472,perphenazin,3.034482759,11309,202.5796939,10824,8.085561497
383,10471,anova,3.017876111,9645,2.072739079,7762,0.79976724
385,10469,pharsight,2.980295567,9548,1.715558442,9308,2.559099012
384,10470,view,2.980295567,9547,1.715558442,7458,0.620194818
386,10468,each,2.977499704,10392,9.091658706,10749,7.514256337
387,10466,label,2.967878516,10104,5.246883117,9631,4.36731396
388,10463,dosag,2.944720913,10030,4.273772071,11122,16.62202327
389,10460,bid,2.926108374,10001,3.78,11286,61.83562568
390,10461,corpor,2.926108374,9580,1.843809524,7006,0.55215921
391,10458,divid,2.920896258,9192,1.06607443,10863,9.199260691
392,10456,regard,2.913826452,9883,3.29,9419,2.980497507
393,10455,assess,2.9047041,10129,5.65500304,9442,3.113118671
394,10454,reaction,2.896030781,11161,41.80248785,6338,0.400193748
395,10453,absorpt,2.893152302,9379,1.412743506,11294,69.12656872
396,10451,equival,2.871921182,9585,1.878598383,9674,4.831029496
397,10447,univers,2.849584477,9775,2.450119956,10864,9.201563608
399,10444,250,2.81773399,9569,1.814532967,10743,7.232521291
398,10442,out,2.81773399,8582,0.618131868,9763,5.393680394
400,10439,meal,2.790197773,9194,1.071694352,6969,0.487317314
401,10438,caus,2.763546798,9559,1.75070028,9528,3.497493194
405,10430,ke,2.709359606,11259,80.92825714,9741,5.111887502
404,10431,line,2.709359606,10071,4.5486,8867,1.985597148
